question,label,answer
what is the capital of france,general,The capital of France is Paris. 🗼 Paris is also the largest city in France with a population of about 2.1 million. It is famous for the Eiffel Tower the Louvre Museum and being a global centre of art culture and fashion.
what is the capital of england,general,The capital of England (and the United Kingdom) is London. 🏴󠁧󠁢󠁥󠁮󠁧󠁿 London is one of the world's most influential cities home to the British Parliament Buckingham Palace the River Thames and over 9 million people.
who invented the telephone,general,The telephone was invented by Alexander Graham Bell in 1876. 📞 He made the first successful phone call saying: "Mr. Watson come here. I want to see you." Bell's invention revolutionised global communication.
who invented the light bulb,general,Thomas Edison is credited with developing the practical incandescent light bulb in 1879. 💡 He also invented the phonograph and motion picture camera. Edison held over 1000 patents and is one of the greatest inventors in history.
what is the solar system,general,The Solar System consists of the Sun and everything gravitationally bound to it. ☀️ It has 8 planets: Mercury Venus Earth Mars Jupiter Saturn Uranus Neptune. Also includes moons asteroids comets and dwarf planets like Pluto.
which planet is largest,general,Jupiter is the largest planet in our Solar System. 🪐 It is so large that all other planets could fit inside it! Jupiter is a gas giant with a famous Great Red Spot — a storm that has lasted over 400 years. It has at least 95 known moons.
what is the speed of light,general,The speed of light in a vacuum is approximately 299 792 458 metres per second (about 300 000 km/s). ⚡ Light takes about 8 minutes to travel from the Sun to Earth. Einstein's theory states nothing with mass can travel faster than light.
who wrote romeo and juliet,general,Romeo and Juliet was written by William Shakespeare around 1594-1596. 📖 It is a tragedy about two young lovers from rival families (Montague and Capulet) in Verona Italy. It is one of the most performed plays in the world.
what is the united nations,general,The United Nations (UN) is an international organisation founded in 1945 after World War 2. 🌍 It has 193 member states. Its goals include maintaining peace protecting human rights and promoting development. Headquarters: New York City.
what is the human rights,general,Human rights are fundamental rights and freedoms that every person is entitled to regardless of nationality sex ethnicity religion or any other status. 🌍 They include: right to life freedom of speech right to education freedom from torture and right to equality.
how many continents are there,general,There are 7 continents: Africa Asia Europe North America South America Australia/Oceania and Antarctica. 🌍 Some countries teach 6 continents by combining Europe and Asia as Eurasia. Africa has the most countries (54); Antarctica has none.
what is water made of,general,Water is made of two hydrogen atoms and one oxygen atom giving it the chemical formula H₂O. 💧 It covers about 71% of Earth's surface. Water is essential for all known life. It can exist as solid (ice) liquid (water) or gas (steam/water vapour).
what is the tallest mountain,general,Mount Everest is the tallest mountain above sea level standing at 8 849 metres (29 032 feet) above sea level. 🏔️ It is located in the Himalayas on the border between Nepal and Tibet. Edmund Hillary and Tenzing Norgay first summited it in 1953.
i want to pass my exams,motivational,You absolutely can! 💪 Here are your keys to success: Study consistently every day not just before exams. Practise past questions. Ask for help when confused. Rest properly — your brain consolidates memory during sleep. Believe in yourself. You've got this! 🌟
how do i study better,motivational,Great question! 📚 Top study tips: Use active recall (test yourself instead of just re-reading). Study in short focused sessions (Pomodoro: 25 min study 5 min break). Teach the topic to someone else. Use past questions. Get enough sleep — it boosts memory! 🌟
i want to pass utme,motivational,You can and you WILL pass UTME! 💪 Tips: Study all four subjects (Use of English + your 3 chosen subjects). Do past JAMB questions — patterns repeat! Study WAEC/NECO syllabus too. Stay consistent. Eat well sleep well. I'm here to help you every step! 🎓🇳🇬
i failed,motivational,Failing is not the end — it is just a step on the road to success! 💪 Every successful person has failed at some point. What matters is what you do next: identify where you went wrong study smarter ask for help and try again. You have what it takes! 🌟
i give up,motivational,Please don't give up! 🙏 The fact that you're here studying means you care about your future. Every expert was once a beginner. Difficulty means you're growing. Take a short break breathe then come back stronger. I believe in you! 💪
am i smart enough,motivational,Yes absolutely! 🧠 Intelligence is not fixed — it grows with effort practice and persistence. Every time you study your brain literally builds new connections. You are smart enough. You just need to keep going. I'm here to help you every single step! 🌟
what is success,motivational,Success is the consistent achievement of meaningful goals through hard work discipline and perseverance. 🌟 It is different for everyone. But the formula is universal: Clear goals + Consistent effort + Learning from failure + Never giving up = SUCCESS! 💪
