question,label,answer
what caused world war 1,history,World War 1 (1914-1918) was caused by several factors remembered by MAIN: Militarism (arms race) Alliance systems (Triple Alliance vs Triple Entente) Imperialism (competition for colonies) and Nationalism. The immediate trigger was the assassination of Archduke Franz Ferdinand in 1914.
what caused world war 2,history,World War 2 (1939-1945) was caused by: the rise of Adolf Hitler and the Nazi Party in Germany the harsh terms of the Treaty of Versailles the Great Depression appeasement policies by Britain and France and Hitler's invasion of Poland on September 1 1939.
who was nelson mandela,history,Nelson Mandela (1918-2013) was the first Black president of South Africa (1994-1999). 🌍 He spent 27 years in prison for fighting against apartheid (racial segregation). He won the Nobel Peace Prize in 1993 and is a global symbol of peace and justice.
what is colonialism,history,Colonialism is the practice of one country taking political and economic control of another country or territory. 🌍 European powers (Britain France Portugal etc.) colonised much of Africa Asia and the Americas from the 15th to 20th centuries.
what is the nigerian civil war,history,The Nigerian Civil War (1967-1970) also called the Biafran War was fought between the Nigerian government and the secessionist state of Biafra. 🇳🇬 It began due to ethnic and political tensions resulting in over 1 million deaths. Nigeria reunified in 1970.
when did nigeria gain independence,history,Nigeria gained independence from British colonial rule on October 1 1960. 🇳🇬 It became a Federal Republic on October 1 1963. The first Prime Minister was Sir Abubakar Tafawa Balewa and the first President was Dr. Nnamdi Azikiwe.
what is the industrial revolution,history,The Industrial Revolution (1760-1840) was the transition from hand production to machine manufacturing starting in Britain. ⚙️ It introduced factories steam engines railways and mass production. It transformed society from agricultural to industrial.
who was the first president of nigeria,history,The first President of Nigeria was Dr. Nnamdi Azikiwe who served from 1963 to 1966. 🇳🇬 Sir Abubakar Tafawa Balewa was the first Prime Minister (1960-1966). Nigeria was a constitutional monarchy (1960-1963) before becoming a republic.
what is democracy,history,Democracy is a system of government where power is held by the people either directly or through elected representatives. 🗳️ Key features: free elections rule of law protection of rights free press and separation of powers.
what is the longest river in the world,geography,The Nile River in Africa is the longest river in the world at approximately 6650 km (4130 miles). 🌊 It flows through 11 countries including Uganda Sudan and Egypt emptying into the Mediterranean Sea.
what is the largest continent,geography,Asia is the largest continent by both area (44.6 million km²) and population (over 4.7 billion people). 🌏 It contains the world's highest mountain (Mount Everest) largest country (Russia) and most populous countries (China and India).
what is the capital of nigeria,geography,The capital of Nigeria is Abuja. 🇳🇬 It became the capital in 1991 replacing Lagos. Abuja is located in the Federal Capital Territory (FCT) in the centre of Nigeria. Lagos remains the largest city and commercial capital.
what is climate change,geography,Climate change refers to long-term shifts in global temperatures and weather patterns. 🌍 While some is natural since the 1800s human activities (burning fossil fuels deforestation) have been the main driver. Effects include rising sea levels extreme weather and melting ice caps.
what are the continents,geography,The 7 continents of the world are: Africa Asia Europe North America South America Australia (Oceania) and Antarctica. 🌍 Asia is the largest; Australia is the smallest. Africa has the most countries (54).
what is the amazon river,geography,The Amazon River in South America is the largest river by water volume in the world. 🌊 It flows 6400 km through Brazil Peru and Colombia. The Amazon rainforest around it contains 10% of all species on Earth and is vital for global climate regulation.
what is gdp,economics,GDP (Gross Domestic Product) is the total monetary value of all goods and services produced within a country in a specific period (usually a year). 📊 It measures the size of an economy. GDP per capita = GDP ÷ population used to compare living standards.
what is inflation,economics,Inflation is the rate at which the general price level of goods and services rises over time reducing purchasing power. 📈 It is measured by the Consumer Price Index (CPI). Causes: excess money supply demand exceeding supply rising production costs.
what is supply and demand,economics,Supply and demand is the fundamental economic model of price determination. 📊 Law of Demand: as price rises quantity demanded falls. Law of Supply: as price rises quantity supplied rises. The equilibrium price is where supply equals demand.
what is opportunity cost,economics,Opportunity cost is the value of the next best alternative you give up when making a choice. 💰 Example: if you spend money on a phone the opportunity cost is what else you could have bought. Every decision involves a trade-off!
what is a budget,economics,A budget is a financial plan that estimates income and expenditure over a period. 💰 Government budget: if spending > revenue = budget deficit. If revenue > spending = budget surplus. Personal budgets help manage money effectively.
what is international trade,economics,International trade is the exchange of goods and services between countries. 🌍 Countries trade because of comparative advantage — producing what they are most efficient at. Exports are goods sold abroad; imports are goods bought from abroad.
what is taxation,economics,Taxation is the compulsory payment of money by individuals and businesses to the government. 💰 Types: Direct tax (income tax company tax) and Indirect tax (VAT customs duty). Tax revenue funds public services like schools hospitals and roads.
