prompt,completion
"Generate a Python question","What is a list in Python?"
"Generate a Python question","Explain how a for loop works in Python."
"Generate a Python question","What is a dictionary in Python?"
"Generate a Python question","Define a Python function."
"Generate a Python question","Explain the difference between a tuple and a list."
"Generate a Python question","What is a set in Python?"
"Generate a Python question","How do you handle exceptions in Python?"
"Generate a Python question","What is a lambda function in Python?"
"Generate a Python question","Explain list comprehension in Python."
"Generate a Python question","How do you import modules in Python?"
"Generate a math addition question","What is 12 + 7?"
"Generate a math addition question","Calculate 45 + 55."
"Generate a math addition question","Add 100 and 250."
"Generate a math addition question","Find the sum of 75 and 30."
"Generate a math addition question","Calculate 18 + 27."
"Generate a math subtraction question","What is 100 - 45?"
"Generate a math subtraction question","Subtract 25 from 90."
"Generate a math subtraction question","Find the difference between 60 and 15."
"Generate a math subtraction question","Calculate 200 - 125."
"Generate a math subtraction question","What is 80 minus 33?"
"Generate a math multiplication question","Multiply 7 by 8."
"Generate a math multiplication question","Find the product of 12 and 4."
"Generate a math multiplication question","Calculate 9 × 6."
"Generate a math multiplication question","Multiply 15 by 3."
"Generate a math multiplication question","Find the product of 25 and 2."
"Generate a math division question","Divide 20 by 5."
"Generate a math division question","What is 144 ÷ 12?"
"Generate a math division question","Split 81 into 9 equal parts."
"Generate a math division question","Find 100 ÷ 25."
"Generate a math division question","Divide 50 by 10."
"Generate a biology question","Which organelle produces energy in a cell?"
"Generate a biology question","What is the function of the nucleus?"
"Generate a biology question","Explain the role of mitochondria."
"Generate a biology question","What is the structure of DNA?"
"Generate a biology question","Name the process by which plants make food."
"Generate a physics question","What is Newton's first law?"
"Generate a physics question","Explain the concept of velocity."
"Generate a physics question","What is acceleration?"
"Generate a physics question","Define gravitational force."
"Generate a physics question","What is the formula for kinetic energy?"
"Generate a chemistry question","What is the atomic number?"
"Generate a chemistry question","Define molecule."
"Generate a chemistry question","What is an element?"
"Generate a chemistry question","Explain the difference between ionic and covalent bonds."
"Generate a chemistry question","What is the pH scale?"
"Generate an English question","Define a noun."
"Generate an English question","Give examples of verbs."
"Generate an English question","What is an adjective?"
"Generate an English question","Explain a simile."
"Generate an English question","What is a metaphor?"
"Generate a geography question","Name the longest river in the world."
"Generate a geography question","What is the capital of France?"
"Generate a geography question","Explain what a delta is."
"Generate a geography question","Name the continents."
"Generate a geography question","What is the largest desert on Earth?"
"Generate a history question","Who was the first president of the USA?"
"Generate a history question","What caused World War I?"
"Generate a history question","Explain the significance of the Berlin Wall."
"Generate a history question","Who discovered America?"
"Generate a history question","What was the Industrial Revolution?"
"Generate a computer science question","What is an algorithm?"
"Generate a computer science question","Define a variable."
"Generate a computer science question","Explain object-oriented programming."
"Generate a computer science question","What is a function?"
"Generate a computer science question","What is recursion?"
"Generate a economics question","Define supply and demand."
"Generate a economics question","What is inflation?"
"Generate a economics question","Explain GDP."
"Generate a economics question","What is a budget deficit?"
"Generate a economics question","Define opportunity cost."
"Generate a civics question","What is the constitution?"
"Generate a civics question","Explain democracy."
"Generate a civics question","What is the role of the president?"
"Generate a civics question","Define separation of powers."
"Generate a civics question","What is the legislative branch?"
"Generate a mathematics question","Solve for x: 2x + 3 = 7."
"Generate a mathematics question","Find x: 5x - 10 = 0."
"Generate a mathematics question","Solve for x: 3x + 4 = 19."
"Generate a mathematics question","What is the solution of x/2 = 6?"
"Generate a mathematics question","Find x if 4x - 8 = 12."
"Generate a computer question","What is an IP address?"
"Generate a computer question","Define HTTP."
"Generate a computer question","What is a server?"
"Generate a computer question","Explain DNS."
"Generate a computer question","What is a firewall?"
"Generate a programming question","What is a Python loop?"
"Generate a programming question","Explain while loop in Python."
"Generate a programming question","What is a list comprehension?"
"Generate a programming question","What is a tuple?"
"Generate a programming question","Explain dictionary in Python."
"Generate a AI question","What is machine learning?"
"Generate a AI question","Define artificial intelligence."
"Generate a AI question","What is deep learning?"
"Generate a AI question","Explain supervised learning."
"Generate a AI question","What is unsupervised learning?"
"Generate a AI question","What is reinforcement learning?"
"Generate a AI question","What is NLP?"
"Generate a AI question","What is computer vision?"
"Generate a AI question","Explain neural networks."
"Generate a AI question","What is backpropagation?"
"Generate a AI question","Define activation function."
"Generate a general knowledge question","Who is the CEO of Tesla?"
"Generate a general knowledge question","What is the tallest building in the world?"
"Generate a general knowledge question","Which planet is known as the Red Planet?"
"Generate a general knowledge question","Name the largest ocean."
"Generate a general knowledge question","Which language has the most native speakers?"
"Generate a general knowledge question","What is the fastest land animal?"
"Generate a general knowledge question","What is the capital of Japan?"
"Generate a general knowledge question","Which country has the Great Wall?"
"Generate a general knowledge question","What is the smallest country by area?"
"Generate a mathematics question","Calculate the square of 7."
"Generate a mathematics question","What is 12 squared?"
"Generate a mathematics question","Find the cube of 3."
"Generate a mathematics question","Calculate 4 cubed."
"Generate a mathematics question","What is 5 cubed?"
"Generate a mathematics question","Find 10% of 200."
"Generate a mathematics question","Calculate 25% of 80."
"Generate a mathematics question","Find 15% of 60."
"Generate a mathematics question","Convert 0.75 to a fraction."
"Generate a mathematics question","Write 0.2 as a fraction."
"Generate a mathematics question","Convert 0.125 to fraction."
"Generate a mathematics question","Solve for x: x/3 = 5."
"Generate a mathematics question","Solve 2x/4 = 6."
"Generate a mathematics question","Find x if x/5 = 10."
"Generate a mathematics question","Find the area of a rectangle with length 5 and width 3."
"Generate a mathematics question","Calculate the area of a rectangle: 8 by 4."
"Generate a mathematics question","Find the area of a rectangle 6m × 9m."
"Generate a mathematics question","What is the perimeter of a square with side 7?"
"Generate a mathematics question","Calculate perimeter of square side 10."
"Generate a mathematics question","Find the perimeter if square side = 12."
