question,label,answer
what is photosynthesis,biology,Photosynthesis is the process by which green plants use sunlight water and carbon dioxide to produce glucose and oxygen. 🌿 It happens in the chloroplasts using chlorophyll. Formula: 6CO₂ + 6H₂O + light → C₆H₁₂O₆ + 6O₂
what is osmosis,biology,Osmosis is the movement of water molecules from a region of lower solute concentration to higher solute concentration through a semi-permeable membrane. 💧 It is a passive process requiring no energy.
what is diffusion,biology,Diffusion is the movement of particles from an area of high concentration to low concentration until equilibrium is reached. It is a passive process — no energy required! 🔬
what is mitosis,biology,Mitosis is cell division that produces two identical daughter cells with the same number of chromosomes as the parent cell. 🔬 It has 4 stages: Prophase Metaphase Anaphase Telophase (PMAT).
what is meiosis,biology,Meiosis is cell division that produces four daughter cells each with half the number of chromosomes. It is used to produce sex cells (gametes — sperm and egg). 🧬
what is dna,biology,DNA (Deoxyribonucleic Acid) is the molecule that carries genetic information in all living organisms. 🧬 It has a double helix structure made of nucleotides containing adenine thymine guanine and cytosine.
what is a cell,biology,A cell is the basic structural and functional unit of all living organisms. 🔬 There are two types: prokaryotic cells (no nucleus e.g. bacteria) and eukaryotic cells (with nucleus e.g. plant and animal cells).
what does the mitochondria do,biology,The mitochondria is the powerhouse of the cell! ⚡ It produces ATP (energy) through a process called cellular respiration. Formula: C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O + ATP
what is the nucleus,biology,The nucleus is the control centre of the cell. 🧠 It contains DNA and controls all cell activities including growth reproduction and protein synthesis.
what is respiration,biology,Respiration is the process of releasing energy from glucose. Aerobic respiration uses oxygen: C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O + ATP. Anaerobic respiration occurs without oxygen. 💨
what is evolution,biology,Evolution is the gradual change in the inherited characteristics of a species over many generations through natural selection. 🦎 Darwin's theory states that organisms best adapted to their environment survive and reproduce.
what is natural selection,biology,Natural selection is the process where organisms with favourable traits survive and reproduce more successfully than others. 🌿 Over time this leads to evolution. Proposed by Charles Darwin in 1859.
what is an ecosystem,biology,An ecosystem is a community of living organisms interacting with each other and their non-living environment (water air soil). 🌍 Examples: rainforest ocean desert grassland.
what is a food chain,biology,A food chain shows the transfer of energy from one organism to another. 🌿→🐛→🐦→🦅 It starts with a producer (plant) and ends with a top predator. Energy is lost at each level.
what is newton's first law,physics,Newton's First Law states that an object remains at rest or continues moving at constant velocity unless acted upon by an external force. ⚡ This is also called the Law of Inertia.
what is newton's second law,physics,Newton's Second Law states that Force = Mass × Acceleration (F = ma). 📐 The greater the force applied to an object the greater its acceleration. The greater the mass the less the acceleration.
what is newton's third law,physics,Newton's Third Law states that for every action there is an equal and opposite reaction. 🚀 Example: a rocket pushes exhaust gas downward and the gas pushes the rocket upward.
what is gravity,physics,Gravity is the force of attraction between any two objects with mass. 🌍 On Earth, gravitational acceleration is approximately 9.8 m/s². Formula: F = Gm₁m₂/r²
what is velocity,physics,Velocity is the speed of an object in a specific direction. 🏃 It is a vector quantity. Formula: velocity = displacement ÷ time. Unit: m/s
