question,label,answer
what is programming,computer,Programming is the process of writing instructions (code) that a computer can execute to perform tasks. 💻 It uses programming languages like Python Java C++ JavaScript. Programmers solve problems by breaking them into logical steps called algorithms.
what is python,computer,Python is a high-level easy-to-learn programming language created by Guido van Rossum in 1991. 🐍 It is widely used in AI data science web development and automation. Python code is clean and readable — it uses indentation instead of brackets.
what is a variable,computer,A variable is a named storage location in memory that holds a value. 💻 In Python: name = "John" or age = 17. Variables can store text (strings) numbers (integers floats) booleans (True/False) and more.
what is a function,computer,A function is a reusable block of code that performs a specific task. 💻 In Python: def greet(): print("Hello!"). Functions avoid repetition make code organised and are called by using their name: greet(). Functions can accept inputs (parameters) and return outputs.
what is a loop,computer,A loop repeats a block of code multiple times. 💻 For loop: for i in range(5): print(i) — runs 5 times. While loop: while x < 10: x += 1 — runs while condition is true. Loops save time and reduce repeated code.
what is an algorithm,computer,An algorithm is a step-by-step set of instructions to solve a problem. 💻 Like a recipe for a computer! Properties: clear finite steps unambiguous produces a result. Algorithms are the foundation of all computer programs.
what is object oriented programming,computer,Object-Oriented Programming (OOP) is a programming style based on 'objects' that combine data (attributes) and functions (methods). 💻 Key concepts: Class (blueprint) Object (instance) Inheritance Encapsulation Polymorphism Abstraction.
what is a database,computer,A database is an organised collection of structured data stored electronically. 💻 Types: Relational databases (MySQL PostgreSQL) use tables. NoSQL databases (MongoDB) use flexible formats. SQL (Structured Query Language) is used to query databases.
what is the internet,computer,The Internet is a global network of computers connected and communicating using standard protocols (TCP/IP). 🌐 It enables email web browsing streaming and communication. The World Wide Web (WWW) is a service running on the Internet using HTTP.
what is artificial intelligence,computer,Artificial Intelligence (AI) is the simulation of human intelligence by machines. 🤖 It includes: Machine Learning (learning from data) Deep Learning (neural networks) NLP (understanding language) and Computer Vision. AI is used in healthcare finance education and more.
what is machine learning,computer,Machine Learning is a subset of AI where computers learn from data without being explicitly programmed. 🤖 Types: Supervised learning (labelled data) Unsupervised learning (unlabelled data) Reinforcement learning (reward-based). Used in recommendations fraud detection medical diagnosis.
what is an operating system,computer,An Operating System (OS) is software that manages computer hardware and provides services for programs. 💻 Examples: Windows macOS Linux Android iOS. Functions: process management memory management file system management security.
what is a network,computer,A computer network is a collection of computers and devices connected to share resources and communicate. 🌐 Types: LAN (Local Area Network — same building) WAN (Wide Area Network — large distances) Internet (global network). Uses TCP/IP protocols.
what is html,computer,HTML (HyperText Markup Language) is the standard language for creating web pages. 💻 It uses tags like <h1> <p> <img> <a> to structure content. HTML defines the structure CSS handles styling and JavaScript adds interactivity.
what is a bug,computer,A bug is an error or flaw in a program that causes it to produce incorrect or unexpected results. 🐛 Debugging is the process of finding and fixing bugs. Common types: syntax errors (wrong code structure) logic errors (wrong result) runtime errors (crash during execution).
what is recursion,computer,Recursion is when a function calls itself to solve a problem. 💻 It must have a base case (stopping condition) to avoid infinite loops. Example: factorial(n) = n × factorial(n-1). Recursion is elegant but can use a lot of memory.
what is binary,computer,Binary is the number system used by computers using only 0s and 1s. 💻 Each digit is called a bit. 8 bits = 1 byte. Binary 1010 = decimal 10 (1×8 + 0×4 + 1×2 + 0×1). All data in a computer is ultimately stored and processed in binary.
