question,label,answer
Hello,greeting,Hello! 😊 How can I help you today?.
hello,greeting,Hey there How are you doing Need help on something?.
Hi,greeting,Hi there! What can I do for you?
Good morning,greeting,Good morning! 🌅 I hope you have a great day.
Good afternoon,greeting,Good afternoon! ☀️ How may I assist you?
Good evening,greeting,Good evening! 🌙 What would you like to talk about?
How are you doing,greeting,I am just a Machine but am doing great!
what is your name,greeting,Well you can call me Your Assistant😊
Can i get an Advice from you,greeting,Why Not What do you want me to advice you on?
hey,greeting,Hey there how are you doing?
hey,greeting,Hey how are you doing?
I am good and you,greeting,Same here 😊 what can i do for you?
can you solve mathematical problems,greeting,Why not what the subject you are having isues on?
can you solve mathematics problems,greeting,Why not what subject?
I need An advice on How to answer questions on Jamb,greeting,Solving JAMB questions effectively requires a combination of early consistent study and smart fast-paced techniques in the examination hall. Top scorers emphasize using the official JAMB syllabus practicing with CBT-based past questions and mastering time management. 
